query_pid,query_wid,s1_first,s1_ap,cov,none_n96_first,none_n96_ap,profile_cosine_n96_first,profile_cosine_n96_ap,exhaustive_dtw_n96_first,exhaustive_dtw_n96_ap,none_n384_first,none_n384_ap,profile_cosine_n384_first,profile_cosine_n384_ap,exhaustive_dtw_n384_first,exhaustive_dtw_n384_ap
P_346476,W_45783,649,0.0022478056541479032,0,649,0.00224781,649,0.00224781,649,0.00224781,649,0.00224781,649,0.00224781,649,0.00224781
P_346478,W_53262,6,0.037154414484746275,2,27,0.01338898,29,0.01317613,2,0.0521608,28,0.01327875,29,0.01317613,2,0.05258651
P_346482,W_10577,866,0.0022905891497988387,0,866,0.00229059,866,0.00229059,866,0.00229059,866,0.00229059,866,0.00229059,866,0.00229059
P_3467,W_3447,12,0.03617270093393938,2,14,0.0330798,8,0.03415042,9,0.03299301,14,0.0330798,11,0.03130951,11,0.03130951
P_34674,W_2081,22,0.02011890829979023,1,21,0.02029928,22,0.02011891,22,0.02011891,22,0.02011891,16,0.02153936,16,0.02153936
P_346861,W_8937,1,0.3452259179375308,6,10,0.12371849,1,0.36364523,1,0.35620475,10,0.12304739,1,0.45324637,1,0.45253412
P_34700,W_34699,23,0.03665033372700948,1,11,0.0406029,8,0.04344381,8,0.04344381,16,0.03823548,19,0.03741311,20,0.03719381
P_347012,W_59954,31,0.00352981127936851,0,31,0.00352981,31,0.00352981,31,0.00352981,31,0.00352981,31,0.00352981,31,0.00352981
P_34702,W_10313,424,0.0023575029321901034,0,424,0.0023575,424,0.0023575,424,0.0023575,424,0.0023575,424,0.0023575,424,0.0023575
P_347029,W_27328,91,0.012662074477294257,0,91,0.01266207,91,0.01266207,91,0.01266207,91,0.01266207,91,0.01266207,91,0.01266207
P_347116,W_35472,16,0.022421674543724773,1,26,0.02041847,8,0.02763001,8,0.02763001,26,0.02041847,6,0.03110223,6,0.03110223
P_347118,W_10526,1,0.2227800180565552,3,17,0.07027457,1,0.24212526,1,0.23865303,16,0.07009361,1,0.22754192,1,0.22754192
P_347160,W_642,989,0.0008991748987690084,0,989,0.00089917,989,0.00089917,989,0.00089917,989,0.00089917,989,0.00089917,989,0.00089917
P_347198,W_7257,132,0.004967894578685654,0,132,0.00496789,132,0.00496789,132,0.00496789,132,0.00496789,132,0.00496789,132,0.00496789
P_347199,W_83871,26,0.006132975273479624,1,5,0.01959451,14,0.00888023,14,0.00888023,6,0.01681674,14,0.00888023,14,0.00888023
P_347204,W_39055,14,0.014415575982807675,1,17,0.01336516,30,0.01124097,26,0.01166832,17,0.01336516,30,0.01124097,27,0.01154961
P_347310,W_8937,4,0.05715604847691696,2,17,0.04141625,1,0.122037,1,0.12167625,18,0.04114392,1,0.12104494,1,0.12104494
P_347503,W_11535,15,0.03157172258299596,1,26,0.0292213,22,0.02980405,22,0.02980405,26,0.0292213,23,0.02963936,23,0.02963936
P_347520,W_87425,19,0.00804664626723679,1,11,0.01123644,19,0.00804665,18,0.00829031,11,0.01123644,17,0.00856264,17,0.00856264
P_347567,W_1412,22,0.009352193262124945,1,1,0.08889765,7,0.01746908,7,0.01746908,2,0.04723098,8,0.01598098,9,0.01482357
P_3476,W_3447,4,0.041620310267686166,1,1,0.10412031,1,0.10412031,1,0.10412031,1,0.10412031,1,0.10412031,1,0.10412031
P_347637,W_52660,3,0.053615618180280385,2,1,0.10764562,1,0.11230401,1,0.18373258,1,0.10734369,1,0.11020317,1,0.18373258
P_347687,W_52660,15,0.03038007989592749,1,15,0.03038008,3,0.0526023,3,0.0526023,14,0.03077691,2,0.06649119,2,0.06649119
P_347773,W_5231,11,0.03527645314148708,2,13,0.02688873,3,0.05036151,3,0.05036151,13,0.02688873,3,0.04952609,3,0.04952609
P_347779,W_142008,86,0.009010510808778061,0,86,0.00901051,86,0.00901051,86,0.00901051,86,0.00901051,86,0.00901051,86,0.00901051
